# GymConfig(dt=1.0, num_drones=4, num_users=20, drones_speed=2.0, drones_height=10.0, boundary_size=1000.0, num_obstacles=0)
# DQNConfig(memory_size=200000, min_memory=50000, update_freq=10000, batch_size=32, gamma=0.99, epsilon=1.0, epsilon_min=0.1, epsilon_decay=1e-05, decay_type='linear', n_step=3, per_alpha=0.6, per_beta=0.4, per_beta_annealing=1e-06, autosave_freq=10000)
episode,sim_time,sim_steps,area_coverage,user_coverage,mean_reward,memory_size,epsilon,loss,train_time,train_steps,train_speed
22,1000.0,1000,0.691,0.55,0.0,88088,0.9048900000004328,0.04655533,368.77796363830566,9511,25.790586529951785
23,1000.0,1000,0.671,0.6,0.0,92092,0.8948900000004784,0.043783303,408.2244679927826,10511,25.74808913195323
24,1000.0,1000,0.473,0.2,0.0,96096,0.8848900000005239,0.040449377,446.2168095111847,11511,25.79687662183445
25,1000.0,1000,0.374,0.45,0.0,100100,0.8748900000005694,0.03902634,485.4339237213135,12511,25.77281763046519
26,1000.0,1000,0.626,0.65,0.0,104104,0.8648900000006149,0.037999023,524.6992292404175,13511,25.7499901441468
27,1000.0,1000,0.741,0.7,0.0,108108,0.8548900000006604,0.035994086,563.8832387924194,14511,25.73405092279301
28,1000.0,1000,0.749,0.6,0.0,112112,0.8448900000007059,0.035632044,602.3238437175751,15511,25.751927544236107
29,1000.0,1000,0.796,0.8,0.0,116116,0.8348900000007514,0.0347054,641.4146196842194,16511,25.741539841817385
30,1000.0,1000,0.735,0.75,0.0,120120,0.8248900000007969,0.03347495,680.4920513629913,17511,25.73285013452485
31,1000.0,1000,0.764,0.7,0.0,124124,0.8148900000008424,0.032774054,719.7961828708649,18511,25.717002157342847
32,1000.0,1000,0.66,0.8,0.0,128128,0.804890000000888,0.031511262,758.0824253559113,19511,25.737306835160172
33,1000.0,1000,0.609,0.6,0.0,132132,0.7948900000009335,0.031169344,797.2399883270264,20511,25.72751026280016
34,1000.0,1000,0.672,0.75,0.0,136136,0.784890000000979,0.030230785,836.5688555240631,21511,25.713364591206883
35,1000.0,1000,0.675,0.85,0.0,140140,0.7748900000010245,0.030075526,875.6740233898163,22511,25.707054657703203
36,1000.0,1000,0.63,0.65,0.0,144144,0.76489000000107,0.029195828,914.9447689056396,23511,25.69663304348055
37,1000.0,1000,0.71,0.7,0.0,148148,0.7548900000011155,0.02832719,953.3780291080475,24511,25.709633779312924
38,1000.0,1000,0.602,0.55,0.0,152152,0.744890000001161,0.02750179,992.1809105873108,25511,25.712044758559557
39,1000.0,1000,0.625,0.75,0.0,156156,0.7348900000012065,0.026720038,1031.033586025238,26511,25.713032385241934
40,1000.0,1000,0.532,0.55,0.0,160160,0.724890000001252,0.02617486,1070.590739250183,27511,25.697027798890517
41,1000.0,1000,0.717,0.65,0.0,164164,0.7148900000012975,0.025494548,1109.0713617801666,28511,25.707092405532812
42,1000.0,1000,0.651,0.55,0.0,168168,0.704890000001343,0.025104059,1148.0201938152313,29511,25.705993802833827
43,1000.0,1000,0.278,0.2,0.0,172172,0.6948900000013886,0.024982424,1187.7754259109497,30511,25.687515772900593
44,1000.0,1000,0.568,0.4,0.0,176176,0.6848900000014341,0.024422582,1227.295151233673,31511,25.675160494165514
45,1000.0,1000,0.751,0.6,0.0,180180,0.6748900000014796,0.02396609,1265.769849538803,32511,25.684764097990076
46,1000.0,1000,0.412,0.5,0.0,184184,0.6648900000015251,0.023501646,1304.9246089458466,33511,25.68041077001608
47,1000.0,1000,0.719,0.7,0.0,188188,0.6548900000015706,0.023140216,1342.5744321346283,34511,25.705092511514216
48,1000.0,1000,0.531,0.6,0.0,192192,0.6448900000016161,0.022673495,1380.1962213516235,35511,25.728950294246644
49,1000.0,1000,0.691,0.65,0.0,196196,0.6348900000016616,0.022247622,1417.9816172122955,36511,25.74857074195545
50,1000.0,1000,0.452,0.35,0.0,200000,0.6248900000017071,0.02188289,1454.6349515914917,37511,25.787225819450704
51,1000.0,1000,0.475,0.45,0.0,200000,0.6148900000017526,0.021600908,1492.0542786121368,38511,25.810723202050156
52,1000.0,1000,0.174,0.15,0.0,200000,0.6048900000017982,0.021967366,1529.7130851745605,39511,25.8290266132979
53,1000.0,1000,0.305,0.15,0.0,200000,0.5948900000018437,0.022370365,1568.508121728897,40511,25.827727269292616
